simple_name,country,type,average_volume,high_52_weeks,dividend_yield,low_52_weeks,market_cap,pb_ratio,shares_outstanding,sector,industry,num_employees,year_founded
Kimberly-Clark,US,1,2402467.6,149.23,3.03331,114.62,44840214844,-1456.6994,341796000,Consumer Non-Durables,Household/Personal Care,40000,1872
Horizon Bank,US,1,96752.9,19.48,3.03605,14.76,675539551,1.08391,44976000,Finance,Regional Banks,839,1873
A.O. Smith,US,1,2948289.7,56.66,2.34146,38.09,6406170532,3.99402,161976505,Producer Manufacturing,Building Products,15100,1874
Prudential Financial,US,1,3376100.3,106.395,5.53042,73.19,29798820000,0.4743,398832408,Finance,Financial Conglomerates,51511,1875
ConocoPhillips,US,1,10631642,70.06,3.41255,45.12,52348429688,1.52677,1081130000,Energy Minerals,Oil & Gas Production,10400,1875
Churchill Downs,US,1,455930,167.525,0.45225,83.05,4978108398,10.034,39622000,Consumer Services,Casinos/Gaming,5500,1875
BancorpSouth,US,1,618024,32.97,2.84615,23.87,2589805420,1.07927,105836000,Finance,Regional Banks,4693,1876
Eli Lilly,US,1,5153128.8,147.87,2.22824,101.36,1.21E+11,48.7927,956382000,Health Technology,Pharmaceuticals: Major,33625,1876
Greif,US,1,323730.5,50.37,4.95217,29.85,1808603760,1.81006,59147994.56,Process Industries,Containers/Packaging,17000,1877
Patterson Companies,US,1,1741785.9,25.6975,4.17168,15.73,2277178955,1.63905,95720000,Distribution Services,Medical Distributors,7800,1877
Graham Holdings,US,1,44011.4,756.26,1.15752,462.995,2601445800,0.801932,5312237,Consumer Services,Other Consumer Services,12053,1877
Caleres,US,1,708935,31.21,2.52936,9.95,467368530,0.690443,40535000,Consumer Non-Durables,Apparel/Footwear,11500,1878
E.W. Scripps,US,1,540097.7,23.41,1.7331,10.37,962885193,1.04048,80914722,Consumer Services,Broadcasting,5900,1878
GE,US,1,90629654.7,13.26,0.35682,7.65,95093702400,3.46019,8738434000,Electronic Technology,Aerospace And Defense,205000,1878
Imperial Oil,CA,1,739527.8,30.38,2.94341,20.56,16287272771,0.899645,743900000,Energy Minerals,Integrated Oil,6000,1880
Ball,US,1,2900325.6,82.82,0.79819,53.72,22953966797,8.27494,325773000,Process Industries,Containers/Packaging,18300,1880
Cenovus Energy,CA,1,5997976.7,10.82,2.52141,6.895,9035297926,0.619102,1228830000,Energy Minerals,Oil & Gas Production,2361,1881
Oppenheimer,US,1,56777.7,31.82,1.95519,23.33,301347260,0.554509,12799000,Finance,Investment Banks/Brokers,2976,1881
PVH,US,1,1351372.7,134.24,0.2011,67.41,5406941406,0.913541,72958300,Consumer Non-Durables,Apparel/Footwear,20500,1881
Exxon Mobil,US,1,36453406.6,83.49,6.4588,48.01,2.18E+11,1.19034,4232190000,Energy Minerals,Integrated Oil,74900,1882
Cabot,US,1,465486.1,50.58,3.626,35.38,2118698486,2.12996,56680000,Process Industries,Industrial Specialties,4500,1882
Sensient Technologies,US,1,564813.3,75.21,3.06544,48.23,2081641846,2.44018,42327000,Distribution Services,Wholesale Distributors,4058,1882
Vistra Energy,US,1,6600238.4,27.96,2.68123,18.75,9372586914,1.2341,487394000,Utilities,Electric Utilities,5475,1882
UgiUGI,US,1,2083980.2,56.49,2.2777,35.63,7516070313,1.96769,208548000,Utilities,Gas Distributors,12800,1882
George Weston,CA,1,2282.6,85.14,2.04414,68.94,11567885646,2.26022,153668000,Retail Trade,Food Retail,194000,1882
Owens & Minor,US,1,2498947.2,8.32,0.13908,2.43,423622500,0.911069,62862000,Distribution Services,Medical Distributors,17900,1882
Peabody Energy,US,1,2730595.4,32.25,7.55735,4.9,567116577,0.190182,97109000,Energy Minerals,Coal,6600,1883
Leggett & Platt,US,1,1341172.7,55.4185,3.97516,35.35,5171842200,4.04341,131800000,Consumer Durables,Home Furnishings,22000,1883
Black Hills,US,1,465952.1,87.12,2.79995,70.15,4529943848,1.98917,62741600,Utilities,Electric Utilities,2944,1883
Kroger,US,1,10576123,30.73,2.15633,20.7,22520511719,2.67004,800587000,Retail Trade,Food Retail,453000,1883
PPG,US,1,2465270.2,134.36,1.93714,100.23,24624712891,4.69711,235756000,Process Industries,Industrial Specialties,47600,1883
FMC,US,1,1045564.8,108.77,1.81612,70.62,12260282800,4.8232,129124294,Process Industries,Chemicals Agricultural,6400,1883
Wolverine World Wide,US,1,730828.2,37.58,1.51229,23.05,2153913574,2.79948,81929400,Consumer Non-Durables,Apparel/Footwear,4000,1883
Consolidated Edison,US,1,3053172.9,95.1,3.62002,77.8,27983696000,1.5491,333000000,Utilities,Electric Utilities,14890,1884
Kearny Financial,US,1,417048.3,14.4,2.83437,10.5,922865967,0.878279,84589000,Finance,Savings Banks,565,1884
Fortis,CA,1,529365.9,44.72,3.39781,35.5,19610685000,1.5034,463300000,Utilities,Electric Utilities,9000,1885
Johnson Controls,IE,1,8640420,44.82,2.73181,34.74,27933154297,1.50485,763827000,Producer Manufacturing,Office Equipment/Supplies,104000,1885
Honeywell,US,1,4563279.3,184.06,2.19191,150.38,1.16E+11,6.31508,712600000,Producer Manufacturing,Industrial Conglomerates,113000,1885
GrafTech,US,1,3609732.8,14.84,3.95349,7.35,2194476807,-3.2095,268931000,Producer Manufacturing,Electrical Products,1346,1886
Edison International,US,1,2677403.3,78.93,3.6201,57.63,24361080078,1.91673,362570000,Utilities,Electric Utilities,12937,1886
Coca-Cola,US,1,19839548.7,60.13,2.93276,44.61,2.29E+11,12.6093,4290280000,Consumer Non-Durables,Beverages: Non-Alcoholic,86200,1886
Fresh Del Monte,US,1,368741.6,38.79,1.11343,22.98,1316763184,0.802664,48022000,Consumer Non-Durables,Food: Specialty/Candy,38000,1886
Marathon Petroleum,US,1,10536786.9,69.65,4.86067,43.96,30775578125,0.87,649000000,Energy Minerals,Oil Refining/Marketing,60910,1887
Northfield Bank,US,1,170120.5,17.55,3.00136,13.345,694842773,1.04445,49175000,Finance,Savings Banks,380,1887
Johnson & Johnson,US,1,11736400.6,154.5,2.7139,126.1,3.54E+11,6.19804,2634720000,Health Technology,Pharmaceuticals: Major,132200,1887
Marathon Oil,US,1,26497487.9,18.93,2.39808,7.54,6430468000,0.544401,796000000,Energy Minerals,Oil And Gas Production,2000,1887
Perrigo,IE,1,1900470.1,63.86,1.66482,40.68,6899415527,1.26772,136110000,Health Technology,Pharmaceuticals: Other,11200,1887
H. B. Fuller,US,1,457724.7,52.4,1.58848,38.41,2051014800,1.68897,51241190,Process Industries,Industrial Specialties,6400,1887
Portland General Electric,US,1,839273.9,63.08,2.68573,49.79,4863764160,1.97818,89391000,Utilities,Electric Utilities,2949,1888
Hubbell,US,1,549467.2,155,2.59833,113.585,7252786133,3.92219,54434000,Producer Manufacturing,Electrical Products,18800,1888
EQT,US,1,12983990,21.86,1.97368,4.21,1499514893,0.1601,255454000,Energy Minerals,Oil & Gas Production,647,1888
Abbott,US,1,8357949.7,92.45,1.76449,72.36,1.36E+11,4.6268,1763430000,Health Technology,Medical Specialties,107000,1888
Sterling National Bank,US,1,2387790.6,22.17,1.58192,16.1,3290389160,0.799689,198455000,Finance,Regional Banks,1639,1888
Arconic,US,1,7115326.9,34.27,0.26711,18.03,12550108000,2.84798,432855183,Non Energy Minerals,Aluminum,41700,1888
B&G Foods,US,1,3278206.8,26.13,11.8086,12.7,947860779,1.26822,64044700,Consumer Non-Durables,Food: Major Diversified,2899,1889
Avista,US,1,583507.8,52.43,3.26481,39.82,3315420000,1.71884,67176996,Utilities,Electric Utilities,1920,1889
Northern Trust,US,1,2143862.4,110.48,3.1642,81.75,18363605469,1.89019,209248000,Finance,Regional Banks,19800,1889
Carpenter Technology,US,1,281486.8,56.33,2.09424,36.02,1756613281,1.13874,47799000,Non-Energy Minerals,Steel,5100,1889
McCormick,US,1,4221.6,174.09,1.62879,132.3,19417139038,5.8752,132913000,Consumer Non-Durables,Food: Specialty/Candy,12400,1889
McCormick,US,1,1056499.1,174.5846,1.62655,133.37,19923658700,5.7841,132900000,Consumer Non Durables,Food Specialty Or Candy,12400,1889
Emerson,US,1,4595365.2,78.38,3.01659,55.98,39225128906,4.81523,611841000,Producer Manufacturing,Electrical Products,88000,1890
Stifel,US,1,565076.3,69.097,1.17302,49.63,3792237100,1.19856,68328029,Finance,Investment Banks Or Brokers,8300,1890
Titan International,US,1,611184.1,7.25,0.9434,1.79,133839355,0.449577,60288000,Producer Manufacturing,Trucks/Construction/Farm Machinery,6300,1890
Merck,US,1,15465294.3,92.64,2.99865,72.23,1.94E+11,7.97467,2536270000,Health Technology,Pharmaceuticals: Major,71000,1891
Hormel,US,1,3614586.4,48.8599,2.15328,37,22245058594,3.89846,534737000,Consumer Non-Durables,Food: Meat/Fish/Dairy,18800,1891
Rexnord,US,1,945617.4,35.64,1.06525,24.24,3551950439,2.68054,121809000,Producer Manufacturing,Industrial Machinery,6700,1891
Hecla Mining,US,1,11939903.6,3.51,0.35336,1.21,1381291382,0.874385,523216000,Non-Energy Minerals,Precious Metals,1622,1891
Abercrombie & Fitch,US,1,3179509.6,30.63,6.19675,12.53,823881287,0.823775,62748000,Retail Trade,Apparel/Footwear Retail,42000,1892
Olin,US,1,5076381.2,25.5,4.72534,14.55,2553519287,1.10439,157722000,Process Industries,Industrial Specialties,6500,1892
Strategic Education,US,1,140187.9,189.79,1.60879,122.08,3163986200,2.24016,21964809,Consumer Services,Other Consumer Services,3017,1892
Flexsteel Industries,US,1,52932.6,25.9,6.36758,12.98,109796341,0.525081,7991000,Consumer Durables,Home Furnishings,1295,1893
Capitol Federal,US,1,547393.2,14.57,2.63975,12.05,1727153809,1.39489,141512000,Finance,Savings Banks,773,1893
Popular,PR,1,775723.7,61.455,2.40048,46.92,4641584961,0.800877,96740000,Finance,Regional Banks,8560,1893
Consolidated Communications,US,1,1516439.2,12.1,32.5529,3.24,447597382,1.33206,71961000,Communications,Major Telecommunications,3400,1894
Ameriprise,US,1,1222252.9,180.854,2.57192,121.57,17414378906,3.26365,123244000,Finance,Investment Banks/Brokers,12500,1894
Hershey,US,1,1363913.1,162.2,2.0294,108.95,29388839355,18.294,204103490.5,Consumer Non-Durables,Food: Specialty/Candy,16140,1894
Albany International,US,1,372835.5,92.045,1.13011,63.11,2065437000,3.10973,32308020,Process Industries,Textiles,4600,1895
Tootsie Roll,US,1,145175.3,40.82,1.10531,31.14,2168415955,2.9573,68492423.1,Consumer Non-Durables,Food: Specialty/Candy,2000,1896
CTS,US,1,95694.9,34.29,0.58932,25.52,845528259,2.17568,32433000,Electronic Technology,Computer Processing Hardware,3570,1896
Bank of Hawaii,US,1,279162.5,95.675,3.43678,73.41,2979776855,2.46731,40040000,Finance,Regional Banks,2124,1897
J.M. Smucker,US,1,1204874,128.43,3.29773,100.14,11744773438,1.48986,114038000,Consumer Non-Durables,Food: Specialty/Candy,7400,1897
Becton Dickinson,US,1,2270824.2,286.72,1.28811,221.47,64490367188,3.13793,271173000,Health Technology,Medical Specialties,70093,1897
Goodyear,US,1,7144597.1,20.7,6.74394,8.92,2253350830,0.507435,232664000,Consumer Durables,Automotive Aftermarket,63000,1898
International Paper,US,1,3642322,47.96,5.36228,35.6,14492939453,1.94355,392125000,Process Industries,Containers/Packaging,51000,1898
Whirlpool,US,1,1282275.5,163.64,3.58557,114,8027178711,2.63969,62781000,Consumer Durables,Electronics/Appliances,77000,1898
GATX,US,1,343566.1,86.01,2.63881,69.49,2503377000,1.3811,34833037,Finance,Finance Or Rental Or Leasing,2165,1898
CME Group,US,1,3354717.2,225.36,1.62369,161.05,71249932398,2.86482,358364000,Finance,Investment Banks/Brokers,4360,1898
Sonoco,US,1,808869.1,66.5742,3.3925,47.25,4825724609,2.75518,100098000,Process Industries,Containers/Packaging,23000,1899
VF,US,1,4414833.6,100.25,2.572,70,28419859375,6.1767,394720000,Consumer Non-Durables,Apparel/Footwear,75000,1899
Timken,US,1,981447.6,58.78,2.47186,37.74,3388334717,1.83207,75565000,Producer Manufacturing,Metal Fabrication,18000,1899
Equifax,US,1,1124168.6,164.77,1.034,107.58,17220361328,7.09123,121236000,Commercial Services,Miscellaneous Commercial Services,11200,1899
Hanesbrands,US,1,9871345.8,19.1,4.49102,12.115,4798917480,3.92699,362456000,Consumer Non-Durables,Apparel/Footwear,63000,1901
Nordstrom,US,1,3829007.8,46.9263,4.29983,25.01,5387279297,6.2773,155253000,Retail Trade,Apparel/Footwear Retail,74000,1901
Walgreens,US,1,8083969.5,67,3.80378,44.61,40537042969,1.80576,885862000,Retail Trade,Drugstore Chains,342000,1901
El Paso Electric,US,1,594775.9,74.44,2.26471,56.8,2764480957,2.27678,40732000,Utilities,Electric Utilities,1100,1901
Federal Signal,US,1,537059.4,35.75,1.05471,23.82,1756906982,2.86093,60583000,Producer Manufacturing,Trucks/Construction/Farm Machinery,3600,1901
United States Steel,US,1,17082372.5,22.575,0.48368,7.41,1363776978,0.343665,170047000,Non-Energy Minerals,Steel,27500,1901
Meredith,US,1,1454760.5,60.95,9.32237,22.93,1581715149,1.24427,45340500,Consumer Services,Publishing: Books/Magazines,5670,1902
Bassett Furniture,US,1,71360.9,20.04,5.03525,9.44,99726479,0.562236,10104000,Consumer Durables,Home Furnishings,2555,1902
National Fuel Gas,US,1,751553.5,61.71,4.52418,35.29,3168998047,1.52546,86561000,Energy Minerals,Integrated Oil,2107,1902
3M,US,1,6171671.2,219.75,3.84263,144.44,85902546875,8.74637,575600000,Producer Manufacturing,Industrial Conglomerates,96163,1902
Archer Daniels Midland,US,1,4324302.9,47.2,3.70752,35.78,21004447266,1.1263,557887000,Process Industries,Agricultural Commodities/Milling,38100,1902
Target,US,1,6378350.2,130.24,2.42069,70.03,52193910156,4.78634,506737000,Retail Trade,Specialty Stores,360000,1902
Ameren,US,1,2751750.3,87.325,2.34542,70.27,20473992000,2.5405,246200000,Utilities,Electric Utilities,9323,1902
Consolidated-Tomoka Land,US,1,30930.6,68.6435,0.9765,54.6,283466766,1.00987,4929000,Finance,Real Estate Development,14,1902
Shenandoah Telecommunications,US,1,230478,49.8,0.6325,29.61,2211903076,4.85153,49784000,Communications,Major Telecommunications,1130,1902
Belden,US,1,339764.5,63.015,0.48368,38.29,1893409000,1.95832,45458000,Producer Manufacturing,Electrical Products,9000,1902
Coca-Cola Consolidated,US,1,87240.8,413.3872,0.45245,190.4275,1840717316,5.97135,9373242,Consumer Non-Durables,Beverages: Non-Alcoholic,16900,1902
Ford,US,1,98639445.3,10.56,8.33333,6.67,27596712738,0.883266,3965050000,Consumer Durables,Motor Vehicles,190000,1903
Newell Brands,US,1,5755740.4,20.99,5.59271,13.04,6533062012,1.68293,423400000,Producer Manufacturing,Industrial Conglomerates,30000,1903
Harley-Davidson,US,1,2133947.3,41.4,4.89375,28.77,4656059570,2.4721,152808000,Consumer Durables,Motor Vehicles,5000,1903
Bank OZK,US,1,973261.2,34.34,3.93641,24.35,3265179199,0.820867,128601000,Finance,Regional Banks,2774,1903
Public Service Enterprise Group,US,1,4523645.3,63.88,3.64923,50.14,25918068359,1.79401,505127000,Utilities,Electric Utilities,7130,1903
Simmons First National,US,1,731459.5,27.29,3.03843,20.88,2429387939,0.8176,113629000,Finance,Major Banks,3270,1903
ACCO Brands,US,1,727496.1,11.3799,2.61752,7.25,774214539,1.03041,96656000,Producer Manufacturing,Office Equipment/Supplies,7000,1903
Mondelez,US,1,10056387.6,59.96,2.05036,46.37,75659390625,2.92525,1432940000,Consumer Non-Durables,Food: Major Diversified,80000,1903
Coty,US,1,6483216.7,14.135,5.37634,8.61,6738481900,1.5068,760500000,Consumer Non Durables,Household Or Personal Care,19000,1904
Duke Energy,US,1,5238478.7,103.79,3.91021,84.28,67216101563,1.57956,733000000,Utilities,Electric Utilities,28793,1904
Dana,US,1,2083276.6,20.96,2.77778,11.57,2069900146,1.10666,143943000,Producer Manufacturing,Auto Parts: OEM,36300,1904
Bank of America,US,1,98893763.4,35.72,2.45148,26.21,2.49E+11,1.07501,8728530000,Finance,Major Banks,208000,1904
Nucor,US,1,3188010.4,61.26,3.77049,39.93,12479925781,1.24421,301812000,Non-Energy Minerals,Steel,26800,1905
Herman Miller,US,1,619752.6,49.8749,2.45184,33.04,2022282959,2.3963,59062000,Producer Manufacturing,Office Equipment/Supplies,8000,1905
Paccar,US,1,2556592,83.41,1.83697,62.13,23398779600,2.4101,346300000,Producer Manufacturing,Trucks Or Construction Or Farm Machinery,27000,1905
National Presto,US,1,67094.5,113.6,1.20106,76.67,550295715,1.63827,7003000,Consumer Durables,Electronics/Appliances,949,1905
Badger Meter,US,1,230028.5,70.835,1.06433,49.66,1752773315,5.61934,29111000,Producer Manufacturing,Industrial Machinery,1567,1905
Gannett,US,1,3551517.7,13.35,38.7755,3.75,489066400,0.5231,128991544,Consumer Services,Publishing Newspapers,21255,1906
CVR Energy,US,1,971087,55.5228,11.4736,26.05,2857079590,2.01278,100531000,Energy Minerals,Oil Refining/Marketing,1486,1906
Chevron,US,1,12437788.5,127.34,5.34217,90.11,1.75E+11,1.26063,1879330000,Energy Minerals,Integrated Oil,48200,1906
Oneok,US,1,4312360.7,78.48,5.21481,63.13,27576644531,4.58841,413319000,Industrial Services,Oil & Gas Pipelines,2882,1906
Schnitzer Steel Industries,US,1,265362,27.47,4.4964,15.53,447317698,0.638133,27143100,Non-Energy Minerals,Steel,3363,1906
Kellogg,US,1,2581082.1,71.05,3.61102,51.34,20684005859,7.85039,342054000,Consumer Non-Durables,Food: Major Diversified,31000,1906
ALLETE,US,1,390824.2,88.6,3.32034,67.9901,3566506836,1.72318,51696000,Utilities,Electric Utilities,1339,1906
American Electric Power,US,1,4502164.1,104.97,2.94458,80.6575,44090156250,2.39355,493952000,Utilities,Electric Utilities,17408,1906
Ingredion,US,1,792211.2,99.51,2.94393,73,5590666400,2.0534,66817487,Process Industries,Agricultural Commodities Or Milling,11000,1906
Spectrum Brands,US,1,727456.1,66.4973,2.91111,45.04,2473281494,1.81686,45895000,Consumer Durables,Electronics/Appliances,13000,1906
ONE Gas,US,1,360267.9,96.97,2.49451,80.54,4334855957,2.14592,52774000,Utilities,Gas Distributors,3600,1906
Cass Information Systems,US,1,41070.3,60.97,2.258,44.35,680681091,2.7627,14498000,Technology Services,Data Processing Services,1122,1906
TEGNA,US,1,3838682.1,18.3,1.86294,13.335,3106065430,2.14151,216904000,Consumer Services,Broadcasting,6883,1906
Otter Tail,US,1,142857.7,57.74,2.96,47.56,1954820801,2.56932,40214400,Utilities,Electric Utilities,2208,1907
Park-Ohio,US,1,32899.8,38.77,2.04583,22.72,306328369,0.955355,12493000,Producer Manufacturing,Metal Fabrication,7300,1907
Williams Cos.,US,1,19142195.4,29.55,8.16327,18.25,23098029297,1.78235,1212490000,Industrial Services,Oil & Gas Pipelines,4812,1908
Briggs & Stratton,US,1,1681143.6,14.365,6.32911,2.91,134655258,0.335987,42478000,Producer Manufacturing,Trucks/Construction/Farm Machinery,5200,1908
GM,US,1,14624292,41.9,4.83768,29.33,43584558594,1.05255,1429000000,Consumer Durables,Motor Vehicles,164000,1908
CIT Group,US,1,1183585.1,54.02,3.44488,36.66,3892850586,0.662253,98032000,Finance,Major Banks,3609,1908
SM Energy,US,1,5303357.4,18.92,1.62075,5.63,742331177,0.253597,112988000,Energy Minerals,Oil & Gas Production,530,1908
Berry,US,1,929416.3,13.29,7.63116,5.52,506708008,0.514501,79546000,Energy Minerals,Oil & Gas Production,355,1909
Ennis,US,1,274120,22.21,4.36047,18.29,523826111,1.78045,26061000,Commercial Services,Commercial Printing/Forms,2470,1909
Xcel Energy,US,1,4434800.3,72.14,2.6112,54.405,32697373047,2.60982,524669000,Utilities,Electric Utilities,11273,1909
ABM,US,1,461002.8,42.67,2.13134,31.805,2197508545,1.49894,66753000,Commercial Services,Miscellaneous Commercial Services,140000,1909
Transalta,CA,1,968127.3,8.5,1.66904,5.69,2159872000,1.48338,281600000,Utilities,Electric Utilities,1883,1909
Vulcan,US,1,1813253.9,152.49,1.08074,109.1864,15921823242,2.963,132395000,Non-Energy Minerals,Construction Materials,8767,1909
Acushnet,US,1,437820.6,33.5,2.33434,22.3,1893072876,2.15257,74384000,Consumer Durables,Recreational Products,5213,1910
IBM,US,1,6742908.6,158.75,4.82502,126.36,1.16E+11,5.71656,888408000,Technology Services,Information Technology Services,383800,1911
Fluor,US,1,7625184,41.91,3.98406,8.99,1306421631,0.90244,140174000,Industrial Services,Engineering & Construction,53349,1912
Steelcase,US,1,837539,23.02,3.55175,14.445,1867027900,2.15073,117202000,Producer Manufacturing,Office Equipment Or Supplies,12700,1912
Haynes International,US,1,72347.3,39.04,3.47003,24.87,317792358,1.04875,12556000,Non-Energy Minerals,Steel,1179,1912
Weis Markets,US,1,79795.7,49.2635,3.22245,35,1004924200,0.9587,26898443,Retail Trade,Food Retail,23000,1912
Illinois Tool Works,US,1,1793678.7,190.85,2.46999,136.92,53843375000,18.3129,319800000,Producer Manufacturing,Industrial Machinery,45000,1912
Entergy,US,1,2178370.9,135.55,2.9971,91.6,23350083984,2.41776,199727000,Utilities,Electric Utilities,13635,1913
Clorox,US,1,2614813.5,174.975,2.46497,144.12,19943441406,38.7486,125100000,Consumer Non-Durables,Household/Personal Care,8800,1913
Guaranty Bancshares,US,1,18703.5,34.16,2.43563,24.27,318812683,1.26887,11547000,Finance,Regional Banks,454,1913
Brady,US,1,373372.9,59.11,1.7806,44.13,2525571381,2.89649,53349628,Producer Manufacturing,Miscellaneous Manufacturing,6100,1914
Cooper Tire & Rubber,US,1,610154.2,33.345,1.64384,22.46,1210522500,0.9563,50203234,Consumer Durables,Automotive Aftermarket,8720,1914
Toro,US,1,429270.6,84.26,1.33209,64.42,7679582031,9.47909,107512000,Producer Manufacturing,Trucks/Construction/Farm Machinery,9329,1914
Mine Safety Appliances,US,1,346986.3,142.34,1.31847,96.01,4727853027,6.85258,38858000,Consumer Durables,Other Consumer Specialties,4800,1914
IdaCorp,US,1,386356.1,114.01,2.62308,95.85,4871622559,2.062,50410000,Utilities,Electric Utilities,1985,1915
Commercial Metals,US,1,1578393.7,24.04,2.537,13.265,2166549072,1.31934,118650000,Non-Energy Minerals,Steel,11524,1915
Donaldson,US,1,498421.1,58.32,1.81622,43.84,5705370117,6.4168,126561000,Process Industries,Industrial Specialties,14100,1915
Allison Transmission,US,1,1491937.1,50.46,1.63855,39.72,4781096680,6.28078,117761000,Producer Manufacturing,Trucks/Construction/Farm Machinery,3700,1915
Kronos Worldwide,US,1,366908.9,16,5.90278,9.35,1155363403,1.34559,115652000,Process Industries,Chemicals: Specialty,2195,1916
Boeing,US,1,8035268.9,444.5,2.84164,269.6,1.55E+11,-18.3316,563152000,Electronic Technology,Aerospace & Defense,161100,1916
Nathan's Famous,US,1,7840.2,82.18,2.2293,57.85,250673492,-4.0709,4213000,Consumer Services,Restaurants,149,1916
SpartanNash,US,1,343120.9,18.68,6.32184,8.82,451818054,0.643972,36349000,Distribution Services,Food Distributors,17200,1917
Suncor,CA,1,5773356.1,34.87,5.05463,26.33,42149422346,1.25166,1529580000,Energy Minerals,Integrated Oil,12889,1917
Washington Federal,US,1,593250.7,38.26,2.78834,27.82,2332082275,1.20195,77762000,Finance,Savings Banks,1971,1917
Lear,US,1,829978.8,159.14,2.7001,105.1,6724486328,1.58491,60472000,Producer Manufacturing,Auto Parts: OEM,164100,1917
Oshkosh,US,1,926548,95.62,1.56924,66.04,4928566406,1.94685,68310000,Producer Manufacturing,Trucks/Construction/Farm Machinery,15400,1917
Carlisle,US,1,681472.7,169.86,1.32899,119.11,8123851074,3.17132,55914700,Producer Manufacturing,Miscellaneous Manufacturing,15000,1917
S&P Global,US,1,2229148,312.94,0.92634,194.95,64828859375,147.373,243800000,Commercial Services,Financial Publishing/Services,22500,1917
Parker-Hannifin,US,1,1425300.1,215.94,1.82772,152.18,23717632813,3.90533,128363000,Producer Manufacturing,Industrial Machinery,55610,1918
Cowen,US,1,302726.6,18.36,1.03627,13.55,434344940,0.545233,29014400,Finance,Investment Banks/Brokers,1212,1918
Seaboard,US,1,1066.2,4743.71,0.25441,3370.5,3978474854,1.16272,1165000,Consumer Non-Durables,Food: Meat/Fish/Dairy,13100,1918
Altria,US,1,14869448,57.88,7.98669,38.57,75022273438,12.5627,1858370000,Consumer Non-Durables,Tobacco,7300,1919
Halliburton,US,1,17002239.7,32.3,4.18118,15.13,14923290039,1.88707,879911000,Industrial Services,Oilfield Services/Equipment,55000,1919
Flowers Foods,US,1,2254207.3,24.355,3.38832,20.04,4555209961,3.75506,211575000,Consumer Non-Durables,Food: Specialty/Candy,9700,1919
Cummins,US,1,1764395.3,186.725,3.36888,141.14,22734347656,3.0543,150270000,Producer Manufacturing,Trucks/Construction/Farm Machinery,61615,1919
Conagra,US,1,7131298.1,35.59,3.00992,22.145,12993065430,1.80602,486814000,Consumer Non-Durables,Food: Major Diversified,18000,1919
American International Group,US,1,9149330.4,58.66,2.98716,41.105,36823472656,0.571859,873422000,Finance,Multi-Line Insurance,46000,1919
Ally Financial,US,1,8484728.1,35.42,2.96643,24.4223,9403130859,0.66526,375075000,Finance,Regional Banks,8200,1919
Standard Motor Products,US,1,123848.8,55.85,2.22124,42.03,988328003,2.0052,22462000,Consumer Durables,Automotive Aftermarket,4200,1919
Canadian National Railway,CA,1,1212220.1,96.53,2.02549,82.82,60287892693,4.41793,711200000,Transportation,Railroads,25975,1919
KEMET,US,1,1019260.7,27.61,0.76864,15.87,1519629517,2.20585,58268000,Electronic Technology,Electronic Components,14350,1919
Occidental Petroleum,US,1,17589312.4,68.83,9.59029,29.64,29247201172,1.20396,893317000,Energy Minerals,Oil & Gas Production,14400,1920
Helmerich & Payne,US,1,1967633.3,64.8,7.54918,34.79,4016509277,1.03029,108878000,Industrial Services,Contract Drilling,7767,1920
Pitney Bowes,US,1,3139425.8,7.28,5.78035,2.96,585326172,2.06138,171148000,Producer Manufacturing,Office Equipment/Supplies,11000,1920
Eastman Chemical,US,1,1727814.8,86.18,4.19514,59.31,8364928711,1.43586,135993000,Process Industries,Chemicals: Major Diversified,14500,1920
Snap-On,US,1,715735.3,174,2.90498,141.02,7911890137,2.38392,54659000,Consumer Durables,Tools & Hardware,12800,1920
Scholastic,US,1,304361.2,45.8,1.79158,30.29,1111918480,0.9193,34650000,Consumer Services,Publishing: Books/Magazines,8900,1920
Hess,US,1,4106237.4,74.11,1.74856,51.88,17146978516,1.9973,305215000,Energy Minerals,Integrated Oil,1775,1920
ITT,US,1,1255823.1,75.56,1.10458,53.65,5140690000,2.4776,87800000,Producer Manufacturing,Industrial Machinery,10500,1920
Avnet,US,1,1107960,49.03,2.66497,29.975,3062945068,0.791308,99835200,Distribution Services,Electronics Distributors,15500,1921
HomeStreet,US,1,140548.8,35.44,2.12766,24.71,647203308,0.991172,23890900,Finance,Regional Banks,2036,1921
Newmont,US,1,13803540.6,51.34,1.19581,29.768,36042437500,1.76651,807583000,Non-Energy Minerals,Precious Metals,31600,1921
Escalade,US,1,27168.9,12.49,5.86854,7.5,119478722,0.959895,14072900,Consumer Durables,Recreational Products,468,1922
QEP Resources,US,1,10398722.1,8.465,3.68664,1.62,534737244,0.193869,237661000,Energy Minerals,Oil & Gas Production,248,1922
Canadian Tire,CA,1,306.7,117.9901,3.42046,97.15,6179403437,1.91274,61600000,Retail Trade,Specialty Stores,31574,1922
Campbell Soup,US,1,2772183.3,52.05,2.91788,35.03,13610672852,11.6949,301655000,Consumer Non-Durables,Food: Major Diversified,19000,1922
Granite Construction,US,1,1168214.5,49.03,2.60652,19.36,949777100,0.763893,46741000,Industrial Services,Engineering & Construction,5700,1922
Raytheon,US,1,3325346,233.48,1.95885,169.64,52502835938,4.3715,278441000,Electronic Technology,Aerospace & Defense,70000,1922
